轮次 [1/100], 训练损失: 0.5839, 验证损失: 0.4590
轮次 [2/100], 训练损失: 0.4662, 验证损失: 0.4522
轮次 [3/100], 训练损失: 0.4536, 验证损失: 0.4146
轮次 [4/100], 训练损失: 0.4177, 验证损失: 0.4060
轮次 [5/100], 训练损失: 0.4206, 验证损失: 0.3555
轮次 [6/100], 训练损失: 0.3655, 验证损失: 0.3342
轮次 [7/100], 训练损失: 0.3437, 验证损失: 0.2878
轮次 [8/100], 训练损失: 0.2805, 验证损失: 0.2351
轮次 [9/100], 训练损失: 0.2214, 验证损失: 0.1838
轮次 [10/100], 训练损失: 0.1774, 验证损失: 0.1541
轮次 [11/100], 训练损失: 0.1646, 验证损失: 0.1262
轮次 [12/100], 训练损失: 0.1426, 验证损失: 0.1535
轮次 [13/100], 训练损失: 0.1398, 验证损失: 0.1085
轮次 [14/100], 训练损失: 0.1168, 验证损失: 0.0907
轮次 [15/100], 训练损失: 0.1071, 验证损失: 0.0888
轮次 [16/100], 训练损失: 0.1107, 验证损失: 0.0764
轮次 [17/100], 训练损失: 0.1014, 验证损失: 0.0617
轮次 [18/100], 训练损失: 0.0881, 验证损失: 0.0642
轮次 [19/100], 训练损失: 0.0737, 验证损失: 0.0736
轮次 [20/100], 训练损失: 0.0815, 验证损失: 0.0704
轮次 [21/100], 训练损失: 0.0777, 验证损失: 0.0746
轮次 [22/100], 训练损失: 0.0724, 验证损失: 0.0476
轮次 [23/100], 训练损失: 0.0666, 验证损失: 0.0439
轮次 [24/100], 训练损失: 0.0590, 验证损失: 0.0479
轮次 [25/100], 训练损失: 0.0582, 验证损失: 0.0488
轮次 [26/100], 训练损失: 0.0640, 验证损失: 0.0557
轮次 [27/100], 训练损失: 0.0589, 验证损失: 0.0360
轮次 [28/100], 训练损失: 0.0502, 验证损失: 0.0539
轮次 [29/100], 训练损失: 0.0601, 验证损失: 0.0530
轮次 [30/100], 训练损失: 0.0495, 验证损失: 0.0300
轮次 [31/100], 训练损失: 0.0451, 验证损失: 0.0293
轮次 [32/100], 训练损失: 0.0424, 验证损失: 0.0341
轮次 [33/100], 训练损失: 0.0421, 验证损失: 0.0279
轮次 [34/100], 训练损失: 0.0392, 验证损失: 0.0254
轮次 [35/100], 训练损失: 0.0423, 验证损失: 0.0235
轮次 [36/100], 训练损失: 0.0373, 验证损失: 0.0285
轮次 [37/100], 训练损失: 0.0357, 验证损失: 0.0204
轮次 [38/100], 训练损失: 0.0360, 验证损失: 0.0253
轮次 [39/100], 训练损失: 0.0396, 验证损失: 0.0230
轮次 [40/100], 训练损失: 0.0399, 验证损失: 0.0222
轮次 [41/100], 训练损失: 0.0323, 验证损失: 0.0200
轮次 [42/100], 训练损失: 0.0299, 验证损失: 0.0180
轮次 [43/100], 训练损失: 0.0287, 验证损失: 0.0247
轮次 [44/100], 训练损失: 0.0328, 验证损失: 0.0186
轮次 [45/100], 训练损失: 0.0302, 验证损失: 0.0180
轮次 [46/100], 训练损失: 0.0322, 验证损失: 0.0230
轮次 [47/100], 训练损失: 0.0276, 验证损失: 0.0192
轮次 [48/100], 训练损失: 0.0257, 验证损失: 0.0167
轮次 [49/100], 训练损失: 0.0234, 验证损失: 0.0158
轮次 [50/100], 训练损失: 0.0216, 验证损失: 0.0173
轮次 [51/100], 训练损失: 0.0205, 验证损失: 0.0171
轮次 [52/100], 训练损失: 0.0217, 验证损失: 0.0134
轮次 [53/100], 训练损失: 0.0231, 验证损失: 0.0169
轮次 [54/100], 训练损失: 0.0275, 验证损失: 0.0212
轮次 [55/100], 训练损失: 0.0284, 验证损失: 0.0189
轮次 [56/100], 训练损失: 0.0237, 验证损失: 0.0217
验证损失连续 5 轮没有改善，早停...
